21.28	1- 7-
20.21	1-
9.57	1- 3
7.45	1- 2-
7.45	1- 6-
5.32	1- 4-
5.32	1- 6
4.26	1- 3-
3.19	1- 5-
3.19	1- 1
3.19	1- 7+
1.06	1- 1+
1.06	1- 6 5
1.06	1- 3 6 7-
1.06	1- 5- 3
1.06	1- 1 2-
1.06	1- 6+
1.06	1- 3- 6- 1- 3- 7-
1.06	1- 3 6 7- 7- 3 6 1-
1.06	1- 3- 7- 1- 3- 1-
