17.69	3- 4
13.61	3-
9.52	3- 2-
9.52	3- 2
6.12	3- 5-
6.12	3- 6-
5.44	3- 5
4.08	3- 1 3- 3- 1 3-
4.08	3- 3-
3.4	3- 1
2.72	3- 3- 3- 3-
2.04	3- 7-
2.04	3- 6
2.04	3- 1-
1.36	3- 1 3-
1.36	3- 5- 3- 5-
1.36	3- 4-
1.36	3- 1+
1.36	3- 3- 2 2
0.68	3- 3- 5-
0.68	3- 7
0.68	3- 4- 7+
0.68	3- 5- 7-
0.68	3- 5 7 4
0.68	3- 5 3- 5
0.68	3- 3+
