18.74	7- 6
15.58	7-
12.87	7- 1
6.77	7- 3
6.09	7- 4
5.87	7- 5
5.64	7- 7-
4.51	7- 2
3.39	7- 6-
2.93	7- 2-
2.71	7- 1-
2.26	7- 5-
1.81	7- 6+
0.9	7- 7
0.9	7- 4-
0.68	7- 3-
0.45	7- 4 6
0.45	7- 2- 6
0.23	7- 5 1 6
0.23	7- 7- 7- 7-
0.23	7- 5- 7- 4
0.23	7- 3+
0.23	7- 3 5 7-
0.23	7- 3 5 7- 6 3 5 6
0.23	7- 4 7- 5
0.23	7- 7- 6 6
0.23	7- 5 7- 5-
0.23	7- 2- 6-
0.23	7- 6 4
0.23	7- 6 7- 5
0.23	7- 3 2-
0.23	7- 6- 4-
0.23	7- 3 6 1-
0.23	7- 4 2
0.23	7- 3 5 7- 7- 3 5 7-
0.23	7- 3 5-
0.23	7- 6+ 7- 6
0.23	7- 2- 4 3
0.23	7- 5 7-
0.23	7- 7- 6+ 6+
0.23	7- 4 7- 4
0.23	7- 3- 5-
0.23	7- 7- 1 1
0.23	7- 2 2 4
0.23	7- 6 4 5
0.23	7- 3- 5
0.23	7- 6+ 7- 5
0.23	7- 4+
0.23	7- 7- 2- 4
0.23	7- 3 6 1- 3 6 7-
0.23	7- 1 7 6+
